movie_id,movie_title,release_date,release_year,budget,revenue,profit,popularity
123,The Lord of the Rings,1978-11-15,1978,4000000,30471420,26471420,7.914795
124,No End,1985-06-17,1985,0,0,0,3.256676
127,Blind Chance,1987-01-10,1987,0,0,0,3.208221
128,Princess Mononoke,1997-07-12,1997,26500000,159375308,132875308,17.166725
129,Spirited Away,2001-07-20,2001,15000000,274925095,259925095,41.048867
132,The Rolling Stones: Gimme Shelter,1970-12-06,1970,0,0,0,2.336022
133,Primary,1960-01-01,1960,0,0,0,0.380635
134,"O Brother, Where Art Thou?",2000-08-30,2000,26000000,71868327,45868327,12.434175
135,Dont Look Back,1967-05-17,1967,0,0,0,2.676174
136,Freaks,1932-02-20,1932,0,0,0,9.074348
137,Groundhog Day,1993-02-11,1993,14600000,70906973,56306973,12.989627
138,Dracula,1931-02-12,1931,355000,1012189,657189,7.503126
139,Mifune,1999-03-12,1999,0,0,0,2.539346
140,Bad Education,2004-03-19,2004,5000000,40266982,35266982,7.66414
141,Donnie Darko,2001-01-18,2001,6000000,1270522,-4729478,18.303148
142,Brokeback Mountain,2005-09-02,2005,14000000,178043761,164043761,11.787044
143,All Quiet on the Western Front,1930-04-29,1930,1250000,0,-1250000,15.235056
144,Wings of Desire,1987-01-01,1987,2500000,3200000,700000,6.357321
145,Breaking the Waves,1996-05-13,1996,0,3803298,3803298,8.558688
146,"Crouching Tiger, Hidden Dragon",2000-10-01,2000,17000000,213525736,196525736,19.944953
147,The 400 Blows,1959-05-04,1959,0,0,0,7.268688
148,The Secret Life of Words,2005-12-15,2005,5000000,0,-5000000,12.775583
149,Akira,1988-07-16,1988,8000000,553171,-7446829,10.888917
150,48 Hrs.,1982-12-07,1982,12000000,78868508,66868508,15.297121
152,Star Trek: The Motion Picture,1979-12-06,1979,35000000,139000000,104000000,8.277765
153,Lost in Translation,2003-08-31,2003,4000000,119723856,115723856,11.609441
154,Star Trek II: The Wrath of Khan,1982-06-03,1982,12000000,96800000,84800000,7.160236
155,The Dark Knight,2008-07-16,2008,185000000,1004558444,819558444,123.167259
156,Wilbur Wants to Kill Himself,2002-11-08,2002,0,0,0,2.651412
157,Star Trek III: The Search for Spock,1984-05-31,1984,18000000,87000000,69000000,6.197298
158,Knockin' on Heaven's Door,1997-02-20,1997,0,0,0,7.203307
159,Maybe... Maybe Not,1994-10-05,1994,0,0,0,8.593319
160,The Arrival of a Train at La Ciotat,1896-01-25,1896,0,0,0,5.256608
161,Ocean's Eleven,2001-12-07,2001,85000000,450717150,365717150,12.114932
162,Edward Scissorhands,1990-12-05,1990,20000000,53000000,33000000,17.612244
163,Ocean's Twelve,2004-12-09,2004,110000000,362744280,252744280,11.869347
164,Breakfast at Tiffany's,1961-10-05,1961,2500000,9500000,7000000,10.879289
165,Back to the Future Part II,1989-11-20,1989,40000000,332000000,292000000,13.689855
166,The Party,1980-01-01,1980,0,0,0,12.105748
167,K-PAX,2001-10-22,2001,48000000,50315140,2315140,12.400152
168,Star Trek IV: The Voyage Home,1986-11-25,1986,24000000,133000000,109000000,12.596956
169,Predator 2,1990-11-20,1990,35000000,57120318,22120318,11.736241
170,28 Days Later,2002-10-31,2002,5000000,82719885,77719885,17.656951
171,The Party 2,1982-12-08,1982,0,0,0,4.964833
172,Star Trek V: The Final Frontier,1989-06-09,1989,30000000,70200000,40200000,12.308007
173,"20,000 Leagues Under the Sea",1954-12-23,1954,5000000,28200000,23200000,8.722406
174,Star Trek VI: The Undiscovered Country,1991-12-05,1991,27000000,96900000,69900000,5.90057
175,The Big Blue,1988-05-11,1988,0,0,0,13.503815
176,Saw,2004-10-01,2004,1200000,103911669,102711669,23.508433
177,The Fisher King,1991-09-09,1991,24000000,41895491,17895491,11.184385
178,Blown Away,1994-07-01,1994,0,30156002,30156002,13.155071
179,The Interpreter,2005-04-08,2005,80000000,162944923,82944923,12.047671
180,Minority Report,2002-06-20,2002,102000000,358372926,256372926,20.666063
182,The Good German,2006-12-08,2006,32000000,5914908,-26085092,5.290831
183,The Wizard,1989-12-15,1989,6000000,14278900,8278900,5.763954
184,Jackie Brown,1997-12-24,1997,12000000,39673162,27673162,16.415498
185,A Clockwork Orange,1971-12-18,1971,2200000,26589000,24389000,17.112594
186,Lucky Number Slevin,2006-02-24,2006,27000000,56308881,29308881,11.15092
187,Sin City,2005-04-01,2005,40000000,158733820,118733820,15.010525
189,Sin City: A Dame to Kill For,2014-08-20,2014,65000000,39407616,-25592384,20.623642
192,The Name of the Rose,1986-09-24,1986,20000000,77200000,57200000,11.469751
193,Star Trek: Generations,1994-11-17,1994,38000000,120000000,82000000,8.105708
194,Amélie,2001-04-25,2001,10000000,173921954,163921954,12.879381
195,Trouble in Paradise,1932-10-21,1932,0,0,0,3.351442
196,Back to the Future Part III,1990-05-25,1990,40000000,244527583,204527583,13.043999
197,Braveheart,1995-05-24,1995,72000000,210000000,138000000,20.755149
198,To Be or Not to Be,1942-03-05,1942,0,0,0,7.274948
199,Star Trek: First Contact,1996-11-21,1996,46000000,150000000,104000000,8.808497
200,Star Trek: Insurrection,1998-12-10,1998,70000000,118000000,48000000,9.538877
201,Star Trek: Nemesis,2002-12-13,2002,60000000,67312826,7312826,11.367801
203,Mean Streets,1973-10-02,1973,500000,3000000,2500000,8.212399
204,The Wages of Fear,1953-04-22,1953,0,0,0,7.643793
205,Hotel Rwanda,2004-09-11,2004,17500000,38000000,20500000,10.262332
206,Paradise Found,2003-01-01,2003,0,0,0,1.623172
207,Dead Poets Society,1989-06-02,1989,16400000,235860116,219460116,19.905716
211,Berlin is in Germany,2001-11-01,2001,0,0,0,0.222747
212,Arsenic and Old Lace,1944-09-23,1944,1120175,0,-1120175,13.99011
213,North by Northwest,1959-07-07,1959,4000000,13275000,9275000,12.410427
214,Saw III,2006-10-27,2006,10000000,163876815,153876815,14.938035
215,Saw II,2005-10-28,2005,4000000,152925093,148925093,15.399863
216,Ali: Fear Eats the Soul,1974-03-05,1974,130000,0,-130000,5.855308
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,2008,185000000,786636033,601636033,12.577266
218,The Terminator,1984-10-26,1984,6400000,78371200,71971200,19.293562
219,Volver,2006-03-16,2006,12899867,85582407,72682540,6.302926
220,East of Eden,1955-03-09,1955,1,5,4,6.42883
221,Rebel Without a Cause,1955-10-27,1955,1500000,0,-1500000,10.968169
222,Berlin: Symphony of a Great City,1927-09-23,1927,0,0,0,0.692745
223,Rebecca,1940-04-12,1940,1288000,6000000,4712000,8.590813
224,Man of Marble,1977-02-25,1977,0,0,0,2.78344
225,Man of Iron,1981-07-27,1981,0,0,0,0.886249
226,Boys Don't Cry,1999-09-02,1999,2000000,11540607,9540607,6.536006
227,The Outsiders,1983-03-25,1983,10000000,33697647,23697647,6.435926
228,The Blue Angel,1930-03-31,1930,0,0,0,2.40612
229,Bride of Frankenstein,1935-04-21,1935,393750,0,-393750,7.000417
231,Syriana,2005-11-23,2005,50000000,94000000,44000000,5.768575
232,Rumble Fish,1983-10-20,1983,10000000,2494480,-7505520,8.20519
233,The Wanderers,1979-07-13,1979,0,23000000,23000000,3.386374
234,The Cabinet of Dr. Caligari,1920-02-25,1920,18000,0,-18000,7.191271
235,Stand by Me,1986-08-22,1986,8000000,52287414,44287414,15.206957
236,Muriel's Wedding,1994-09-29,1994,3000000,15119639,12119639,5.254847
237,Young Adam,2003-09-26,2003,6400000,2500000,-3900000,5.235419
238,The Godfather,1972-03-14,1972,6000000,245066411,239066411,41.109264
239,Some Like It Hot,1959-03-18,1959,2883848,25000000,22116152,11.845107
240,The Godfather: Part II,1974-12-20,1974,13000000,47542841,34542841,36.629307
241,Natural Born Killers,1994-08-25,1994,34000000,50282766,16282766,11.226856
242,The Godfather: Part III,1990-12-24,1990,54000000,136766062,82766062,17.185349
243,High Fidelity,2000-03-17,2000,30000000,47126295,17126295,8.524956
244,King Kong,1933-04-07,1933,672000,10000000,9328000,8.73274
245,About a Boy,2002-04-26,2002,27000000,129000000,102000000,10.956665
246,Zatoichi,2003-09-06,2003,0,0,0,6.428263
247,The Killing,1956-05-08,1956,320000,0,-320000,10.223264
248,Pocketful of Miracles,1961-12-18,1961,2900000,5000000,2100000,2.649605
249,The War of the Roses,1989-12-08,1989,0,0,0,5.963782
250,In China They Eat Dogs,1999-09-10,1999,0,0,0,5.06264
251,Ghost,1990-07-12,1990,22000000,505000000,483000000,11.945397
252,Willy Wonka & the Chocolate Factory,1971-06-29,1971,3000000,4000000,1000000,12.416635
